"filename", "language", "TypeScript", "Properties", "JavaScript", "comment", "blank", "total"
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/user/user_layer.module.d.ts", "TypeScript", 2, 0, 0, 0, 1, 3
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/user/user_layer.module.js", "JavaScript", 0, 0, 25, 1, 0, 26
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/user/user_login/user_login.dto.js", "JavaScript", 0, 0, -1, 0, 0, -1
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/app.module.ts", "TypeScript", 12, 0, 0, 1, 0, 13
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/configs/config.service.ts", "TypeScript", 0, 0, 0, -7, 2, -5
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/libs/logger/logger.service.ts", "TypeScript", 0, 0, 0, 0, -2, -2
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/models/calendars/calendar-detail.entity.ts", "TypeScript", 13, 0, 0, 11, 5, 29
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/models/calendars/calendar-space.entity.ts", "TypeScript", 13, 0, 0, 1, 5, 19
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/models/calendars/calendar.entity.ts", "TypeScript", 11, 0, 0, 0, 4, 15
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/models/teams/teams.entity.ts", "TypeScript", 0, 0, 0, 0, -1, -1
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/models/tools/calendar/calendar.entity.ts", "TypeScript", 23, 0, 0, 0, 10, 33
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/models/users/team_user.entity.ts", "TypeScript", 0, 0, 0, 3, 1, 4
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/models/users/user.entity.ts", "TypeScript", 6, 0, 0, 0, 3, 9
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/models/users/user_permissions.entity.ts", "TypeScript", 0, 0, 0, 3, 2, 5
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/scripts/lead-delivery/lead-delivery.module.ts", "TypeScript", 6, 0, 0, 0, 2, 8
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/scripts/lead-delivery/lead-delivery.service.spec.ts", "TypeScript", 14, 0, 0, 0, 5, 19
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/scripts/lead-delivery/lead-delivery.service.ts", "TypeScript", 3, 0, 0, 0, 2, 5
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/calendars/calendar-detail/calendar-detail.controller.spec.ts", "TypeScript", 14, 0, 0, 0, 5, 19
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/calendars/calendar-detail/calendar-detail.controller.ts", "TypeScript", 67, 0, 0, 0, 11, 78
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/calendars/calendar-detail/calendar-detail.dto.ts", "TypeScript", 69, 0, 0, 0, 15, 84
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/calendars/calendar-detail/calendar-detail.module.ts", "TypeScript", 11, 0, 0, 0, 2, 13
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/calendars/calendar-detail/calendar-detail.service.spec.ts", "TypeScript", 14, 0, 0, 0, 5, 19
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/calendars/calendar-detail/calendar-detail.service.ts", "TypeScript", 84, 0, 0, 0, 13, 97
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/calendars/calendar-space/calendar-space.controller.spec.ts", "TypeScript", 14, 0, 0, 0, 5, 19
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/calendars/calendar-space/calendar-space.controller.ts", "TypeScript", 74, 0, 0, 0, 12, 86
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/calendars/calendar-space/calendar-space.dto.ts", "TypeScript", 68, 0, 0, 0, 15, 83
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/calendars/calendar-space/calendar-space.module.ts", "TypeScript", 11, 0, 0, 0, 2, 13
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/calendars/calendar-space/calendar-space.service.spec.ts", "TypeScript", 14, 0, 0, 0, 5, 19
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/calendars/calendar-space/calendar-space.service.ts", "TypeScript", 99, 0, 0, 0, 14, 113
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/calendars/calendar/calendar.controller.spec.ts", "TypeScript", 14, 0, 0, 0, 5, 19
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/calendars/calendar/calendar.controller.ts", "TypeScript", 59, 0, 0, 0, 11, 70
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/calendars/calendar/calendar.dto.ts", "TypeScript", 63, 0, 0, 0, 14, 77
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/calendars/calendar/calendar.module.ts", "TypeScript", 11, 0, 0, 0, 2, 13
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/calendars/calendar/calendar.service.spec.ts", "TypeScript", 14, 0, 0, 0, 5, 19
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/calendars/calendar/calendar.service.ts", "TypeScript", 81, 0, 0, 0, 13, 94
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/leads/leads/leads.controller.ts", "TypeScript", 26, 0, 0, 0, 5, 31
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/leads/leads/leads.service.ts", "TypeScript", 24, 0, 0, 0, 5, 29
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/message/message_delivery/message_delivery.controller.spec.ts", "TypeScript", 14, 0, 0, 0, 5, 19
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/message/message_delivery/message_delivery.controller.ts", "TypeScript", 75, 0, 0, 0, 12, 87
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/message/message_delivery/message_delivery.dto.ts", "TypeScript", 63, 0, 0, 0, 14, 77
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/message/message_delivery/message_delivery.module.ts", "TypeScript", 11, 0, 0, 0, 2, 13
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/message/message_delivery/message_delivery.service.spec.ts", "TypeScript", 14, 0, 0, 0, 5, 19
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/message/message_delivery/message_delivery.service.ts", "TypeScript", 90, 0, 0, 0, 15, 105
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/message/messages/messages.controller.spec.ts", "TypeScript", 14, 0, 0, 0, 5, 19
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/message/messages/messages.controller.ts", "TypeScript", 63, 0, 0, 0, 11, 74
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/message/messages/messages.dto.ts", "TypeScript", 57, 0, 0, 0, 13, 70
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/message/messages/messages.module.ts", "TypeScript", 11, 0, 0, 0, 2, 13
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/message/messages/messages.service.spec.ts", "TypeScript", 14, 0, 0, 0, 5, 19
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/message/messages/messages.service.ts", "TypeScript", 85, 0, 0, 0, 14, 99
