"filename", "language", "TypeScript", "Handlebars", "JSON with Comments", "JavaScript", "JSON", "Properties", "Markdown", "Docker", "YAML", "comment", "blank", "total"
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/main.js", "JavaScript", 0, 0, 0, 30, 0, 0, 0, 0, 0, 1, 0, 31
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/api_clients/api_clients.entity.d.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/api_clients/api_clients.entity.js", "JavaScript", 0, 0, 0, 40, 0, 0, 0, 0, 0, 1, 0, 41
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/base.entity.d.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/base.entity.js", "JavaScript", 0, 0, 0, 41, 0, 0, 0, 0, 0, 1, 0, 42
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/brokers/broker_affiliate.entity.d.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/brokers/broker_affiliate.entity.js", "JavaScript", 0, 0, 0, 48, 0, 0, 0, 0, 0, 1, 0, 49
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/brokers/broker_user.entity.d.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/brokers/broker_user.entity.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 1, 0, 33
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/brokers/brokers.entity.d.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/brokers/brokers.entity.js", "JavaScript", 0, 0, 0, 64, 0, 0, 0, 0, 0, 1, 0, 65
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/campaigns/ad_campaigns.entity.d.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/campaigns/ad_campaigns.entity.js", "JavaScript", 0, 0, 0, 76, 0, 0, 0, 0, 0, 1, 0, 77
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/ccs/cc_calls.entity.d.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/ccs/cc_calls.entity.js", "JavaScript", 0, 0, 0, 48, 0, 0, 0, 0, 0, 1, 0, 49
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/deliveries/ld_rules.entity.d.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/deliveries/ld_rules.entity.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 1, 0, 33
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/deliveries/ld_rules_description.entity.d.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/deliveries/ld_rules_description.entity.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 1, 0, 33
